,0,1,2
81,70, Port-au-Prince," Carrefour Feuille
Port-au-Prince"
82,85,Jeremie,"
Grand'Anse"
83,#99 Cité Verna (St Marc) Artibonite,Saint-Marc,
84,64,Hinche, Hinche
85,Route de Delmas,Delmas,
86,3,Port-au-Prince, Port-au-Prince
87,Rue creac Jacmel,Jacmel,
88,19, Port-au-Prince, Port-au-Prince
89,Nord-est, Fort-Liberte,
90,Ave Jean Paul II # ,Port-au-Prince, Port-au-Prince
91,#8,Port-au-Prince, Ouest
92,Martissant 7, Carrefour,
93,129,Petion-Ville, Pétion-Ville
94,97, Port-au-Prince," 
Port-au-Prince"
95,Cité Soleil, Port-au-Prince,Ouest
96,Port-au-Prince, Port-au-Prince,
97,5, Port-au-Prince, Port-au-Prince
98,2,Croix-des-Bouquets,Port-au-Prince
99,118,Port-au-Prince," 
Turgeau"
100,Rue 25,Cap-Haitien, Cap-Haitien
101,170,Port-au-Prince, Turgeau
102,Nord-Ouest,Port-de-Paix,
103,Ouest,Port-au-Prince,
104,4,Port-au-Prince, Port-au-Prince Ouest
105,Diquini 63,Carrefour,
106,Rue Ducoste,"Port-au-Prince
Port-au-Prince",
107,Batiment 28,Port-au-Prince, Blvd Toussaint Louverture
108,17,Port-au-Prince, Port-au-Prince
109,Sud-Est,Port-au-Prince,
110,Portail Leogane, Port-au-Prince, Ouest
111,Port-de-Paix Nord-ouest,Port-de-Paix,
112,Grand'Anse,Jeremie,
113,Cap-Haïtien,Cap-Haitien, Nord
114,"18 Delmas 40-B
 à l'étage", Port-au-Prince, Ouest
115,95,Jacmel, Jacmel
116,Port-au-Prince,Port-au-Prince,
118,Cabaret près du Marché, Cabaret, Ouest
119,Nord,Cap-Haitien,
120,La Pointe," Port- de-Paix
Nord-ouest",
121,Cap Haïtien,Cap-Haitien,
122,Dondon,Dondon,
123,153,Gonaives,Gonaives
124,28, Port-au-Prince, Port-au-Prince
125,123, Port-au-Prince, Jeremie
126,"Angle Delmas 75 et Impasse Hérard # 3;
Port-au-Prince",Delmas,
127,Carrefour,Carrefour,"
Port-au-Prince"
128,14, Port-au-Prince, Bois Verna
129,153, Port-au-Prince, Port-au-Prince
130,Rte de Delmas, Port-au-Prince,
131,Rte Cimetière Ennery,Ennery,
132,Rue Charpentier, Cayes, Sud
133,# 115 Rue de l'enterrement, Port-au-Prince, Ouest
134,Port-à-Piment, Cayes, Sud
135,423 Autoroute de Delmas,Delmas, Pétion-ville
136,Café Lompré, Port-au-Prince, Ouest
137,51, Tabarre, Tabarre
139,3e Avenue du travail, Port-au-Prince,
140,130,Port-au-Prince, Port-au-Prince
141,42,Port-au-Prince, Port-au-Prince
142,Delmas 75 / Puit Blain,Port-au-Prince, Ouest
143,16 Bis,Port-au-Prince, Port-au-Prince
144,Desmapoux, Cayes, Sud
145,Delmas 12, Port-au-Prince, Ouest.
146,129,Jacmel, Jacmel
147,Poteau, Gonaives, Gonaïves
148,Cité résidentiel # 6, Gonaives, Artibonite
149,116,Port-au-Prince, Port-au-Prince
150,33,Gonaives, K-Soleil
151,319,Port-au-Prince, Port-au-Prince Ouest
152,28-29 boulevard Cap-Haïtien,Cap-Haitien,
153,6,Port-au-Prince, Turgeau
154,#3,Port-au-Prince, Turgeau
155,Cap-haitien,Cap-Haitien,
156,Léogane, Port-au-Prince,
157,25,Saint-Marc, St Marc
158,Ave Cartagena prolongé, Cayes, Sud
159,Lambi 5,Carrefour, Mariani
160,# 2 ET # 6 Ruelle Paloma,Carrefour, Ouest
161,Cap Haitien,Cap-Haitien,
162,Grande Rivière du Nord,Grande-riviere du Nord,
163,Angle Avenue Christophe et rue 6, Port-au-Prince, Port-au-Prince
164,# 20 de la rue Duncombe, Port-au-Prince, Port-au-Prince
165,9-Jul, Port-au-Prince, Port-au-Prince
166,22, Port-au-Prince, Port-au-Prince Ouest
168,9,Delmas, Rue Catalpa
169,157, Port-au-Prince, Turgeau
170,8, Port-au-Prince, Bois verna
171,Face au Village SOS Balan,Cap-Haitien, Cap-Haitien
172,45, Gonaives, Gonaïves
173,Bergeaud,Cayes, B.P. 131
174,Maison de la Grand Anse,Jeremie, km5
175,1,Port-au-Prince, Port-au-Prince
176,261, Carrefour, Bolosse
177,Pandiassou, Hinche, Centre
178,Route Nationale #2,Cayes, Cayes
179,La Vallée, Jacmel, Sud-est
180,99,Port-au-Prince, Port-au-Prince
181,#29, Delmas,
182,9,Port-au-Prince, Port-au-Prince
183,# 95,Port-au-Prince, Port-au-Prince
184,25,Delmas, Delmas 39
185,9,Port-au-Prince, Port-au-Prince
186,Delmas 39 Prolonge,Port-au-Prince, Ouest
187,319,Port-au-Prince, Port-au-Prince
188,Port-au-Prince,Port-au-Prince,
189,Cayes,Cayes,
190,Port-au-Prince,Port-au-Prince,
191,115,Gonaives,Gonaives
192,#59,Port-au-Prince, Port-au-Prince
193,99,Port-au-Prince, Port-au-Prince
194,51,Cayes, Avenue Carthagena
195,Gonaives,Gonaives,
196,Rue 22 B,Cap-Haitien, Nord
197,Cap-Haitien,Cap-Haitien,
198,Hinche,Hinche,
199,26,Tabarre, Tabarre 25
200,5,Port-au-Prince, Avenue Christophe
201,Léogane,Leogane,
202,7,Delmas, Delmas 89
203,147 bis Avenue des Dattes, Gonaives, Artibonite
204,Abricots, Jeremie, Grand'Anse
205,Rochasse,Jeremie, Jérémie
206,Campus du Centre Pilote situé à Varreux             (logement Provisoire),Port-au-Prince,
207,20,Delmas, Route de l'Aéroport
208,Communauté Ste Marie - Route de Canapé Vert - Port-au-Prince,Port-au-Prince,
209,14,Port-au-Prince, Port-au-Prince
210,26,Port-au-Prince, Pacot
212,20,Port-au-Prince, Bois-Verna (Bureau 27)
213,Angle rue Duncombre et Ave Lamartiniere,Port-au-Prince, Port-au-Prince
214,Avenue Jean Paul II,Port-au-Prince, Port-au-Prince
215,53,Port-au-Prince, Port-au-Prince
216,61,Jeremie, Grand'Anse
217,39,Jacmel,  Jacmel
218,39,Jacmel, Jacmel
219,#54,Jacmel, Jacmel
221,Delmas 16, Port-au-Prince, Ouest
222,Rte de Darbonne,Leogane, Ouest
223,106,Cap-Haitien, Nord
224,Corporant(Entre Mirbalais et Cange),Mirbalais,
226,Simon,Cayes,
228,#28,Port-au-Prince, Port-au-Prince
229,161,Port-au-Prince, Port-au-Prince
230,386,Delmas, Port-au-Prince
231,Rue Paul Eugène Magloire #73,Hinche, Centre
232,Rue Monsejour,Cayes,
233,18 Tabarre 10. Blvd 15 Octobre, Port-au-Prince, Ouest
234,Autoroute de Delmas # 25,Delmas, Port-au-Prince
235,Rue Républicaine de Petit Goave,Petit-Goave,
236,Mercy & Sharing Fonds Baptiste Williamson,Port-au-Prince,
237,20,carrefour, Carrefour
238,4e Avenue Bolosse,Port-au-Prince, Port-au-Prince
239,Caracol EKAM,Caracol,
240,51,Tabarre, Tabarre
241,43,Carrefour, Carrefour
242,56,Tabarre, Port-au-Prince
243,#22,Tabarre, Avenue Lamartière
244,51 bis,Gressier, Ouest
245,25,Gonaives, Gonaïves
246,Gonaïves,Gonaives,
247,83,Petion-Ville," 
10"
248,70,Port-au-Prince, Port-au-Prince
249,45,Croix-des-Bouquets, Route Nationale #1
250,Ouest,Port-au-Prince,
251,64,Croix-des-Bouquets, Ouest
252,#12,Port-au-Prince, Port-au-Prince
253,#78,Port-au-Prince,Port-au-Prince
254,Varreux Rte Nle#1,Cite Soleil, Ouest
255,Carice,Carice,
256,Présbytère d'Aquin,Aquin,
257,Delmas 60,Delmas, Ouest
258,130,Port-au-Prince, Port-au-Prince
259,Charpentier,Charpentier,
260,Grande Rivière du Nord,Grande-riviere du Nord,
261,Maïssade,Maissade,
262,105,Gonaives, Gonaïves
263,Port-au-Prince,Port-au-Prince,
264,11,Delmas, Port-au-Prince
265,#3,Port-au-Prince, Port-au-Prince
266,Rue des Miracles, Port-au-Prince, Ouest
267,Bas Delmas La Saline, Port-au-Prince, Ouest
268,St Louis du Nord,Saint Louis du Nord,
269,Gros-morne,Gros morne,
270,Avenue Christophe #172, Port-au-Prince," Ouest
Rue Marcelin #34"
271,1ère Avenue du Travail # 5, Port-au-Prince, Ouest  Delmas 35 #2
272,#21,Petion-Ville, Pétion-Ville
273,Tabarre 43,Tabarre, Port-au-Prince
274,Papaye Hinche,Mirebalais, Centre  Mirebalais
275,Delmas 33 #28,Delmas, Ouest
276,112,Jeremie, Jérémie
277,Rue Brouette,Jeremie, Jérémie
278,Rue Monseigneur Maurice,Cayes,SUD
279,Rue 17 Q, Cap-Haitien, NORD
280,268 bis,Saint-Marc, Saint Marc
281,120,Cap-Haitien," Nord
Delmas 19"
282,42,Port-au-Prince, Port-au-Prince
283,29,Port-au-Prince, Port Au-Prince 
284,101,Cayes, Cayes
285,Route de Mais gate, Port-au-Prince, Ouest
286,#4,Mirebalais, Mirebalais
287,267,Port-de-Paix, Port-de-Paix
288,20,Cap-Haitien, Cap Haitien
289,99,Petit-Goave, La coupe
290,5,LA Gonave, La Gonave
291,Entrée Kiteyo,Cap-Haitien,Cap Haïtien
292,55,Petit-Goave, La Hatte Petit Goave
293,Rue 4 et 5,Cap-Haitien, Nord
294,Pemerle,Fond-des-Negres, Fond-des-Nègres
295,28,Carrefour-Feuilles, Carrefour-Feuilles
296,182,Delmas, Port-au-Prince
297,Delmas 29 , Port-au-Prince, Ouest
298,61,Saint-Marc, Saint Marc
299,24,Port-au-Prince, Port-au-Prince
300,12,Port-au-Prince, Avenue Christophe
301,391,Petit-Anse, Petite Anse
302,19,Gonaives,Gonaives
303,# 10,Verettes, Verrettes
304,Bande du Nord,Cap-Haitien, Cap Haitien
305,9,Delmas, Delmas 75
306,Rue 20A, Cap-Haitien," Nord 
10"
308,2, Delmas , Port-au-Prince
309,Cite Soleil,Cite Soleil,
310,Route de Meyer, Jacmel, Haïti
311,31 rue Chériez,Port-au-Prince, Port-au-Prince
312,Entrée Kiteyo,Cap-Haitien, Cap-Haïtien
314,zone de Lamandou,Jacmel,
